Name,Category,Product,Manufacturer,Part #,Price,Storage Conditions,Link
LB,Media,"Luria Broth (Miller's LB Broth), Non-Sterile, pH 6.8-7.2, Molecular Biology Grade, Powder",Sigma-Aldrich,L3522-1KG,$221,4°C to 30°C,https://www.sigmaaldrich.com/US/en/product/sigma/l3522
IPTG,Media,"Isopropyl β-D-thiogalactoside (IPTG), Powder, ≥99% (TLC), ≤0.1% Dioxane",Sigma-Aldrich,I6758-1G,$89.90,-25°C to -15°C,https://www.sigmaaldrich.com/US/en/product/sial/i6758
Kanamycin,Media,"Kanamycin sulfate, BioReagent, ≥750 µg/mg, Suitable for cell culture, Powder",Sigma-Aldrich,K1377-1G,$47.70,4°C to 30°C,https://www.sigmaaldrich.com/US/en/product/sigma/k1377
Culture tubes,Consumables,"Culture Tube, PS, 14mL, 18x95mm, Sterile, TC Treated, w/ Snap (Vent) Cap",Greiner Bio-One,191160,$258.15,4°C to 30°C,
50 mL conical tubes,Consumables,"Corning® 50 mL Polypropylene Centrifuge Tubes, Sterile, Racked, CentriStar™ Cap",Corning,430828,$436.88,4°C to 30°C,https://ecatalog.corning.com/life-sciences/b2b/US/en/Liquid-Handling/Tubes%2C-Liquid-Handling/Centrifuge-Tubes/Corning%C2%AE-50-mL-Centrifuge-Tubes/p/430828
250 mL baffled flasks,Flasks,"PYREX® 250 mL Delong Shaker Erlenmeyer Flask with Baffles",Pyrex,4444-250,$188.26,4°C to 30°C,https://ecatalog.corning.com/life-sciences/b2c/US/en/Bioprocess-and-Scale-up/Erlenmeyer-Flasks/Erlenmeyer-Flasks,-Glass/PYREX%C2%AE-Flask-with-Baffles/p/4444-250
Flask closures,Flasks,"Chemglass Life Sciences Closure, 38mm, Stainless Steel",Chemglass Life Sciences,CG-1320-01,$100.75,4°C to 30°C,https://www.fishersci.com/shop/products/sst-closure-38mm-lanced-1/501215156
Shaking incubator,Equipment,New Brunswick Innova 4430 Incubator Shaker,New Brunswick,-,discontinued,4°C to 30°C,discontinued
Microvolume spectrophotometer,Equipment,DeNovix DS-11+ Spectrophotometer,DeNovix,DS-11+,unlisted,4°C to 30°C,https://www.denovix.com/products/ds-11-fx-spectrophotometer-fluorometer/
Bench centrifuge,Equipment,"Sorvall X4R Pro-MD, IVD Certified",Sorvall,75009521,$18270.00,4°C to 30°C,https://www.thermofisher.com/order/catalog/product/75009521
-20°C Freezer,Equipment,TSX Series High-Performance -20°C Manual Defrost Freezers,Thermo Scientific,TSX2320FA,unlisted,4°C to 30°C,https://www.thermofisher.com/order/catalog/product/TSX2320FA
-80°C Freezer,Equipment,TSX Series Ultra-Low Freezers,Thermo Scientific,TSX60086A,unlisted,4°C to 30°C,https://www.thermofisher.com/order/catalog/product/TSX60086A
